,url,section,title,year,type,author
2672,https://mindmodeling.org/cogsci2013/papers/0385/index.html,Posters,Enhancing Robust Learning Through Problem Solving in the Genetics Cognitive Tutor,2013,poster,"Baker, Ryan"
2673,https://mindmodeling.org/cogsci2013/papers/0386/index.html,Posters,Similarity and Strategic Effects in Recognition Memory,2013,poster,"Cox, Gregory"
2673,https://mindmodeling.org/cogsci2013/papers/0386/index.html,Posters,Similarity and Strategic Effects in Recognition Memory,2013,poster,"Kachergis, George"
2673,https://mindmodeling.org/cogsci2013/papers/0386/index.html,Posters,Similarity and Strategic Effects in Recognition Memory,2013,poster,"Shiffrin, Richard"
2674,https://mindmodeling.org/cogsci2013/papers/0387/index.html,Posters,Dimensions of specificity in musical memory: Evidence from metrical restoration,2013,poster,"Creel, Sarah"
2675,https://mindmodeling.org/cogsci2013/papers/0388/index.html,Posters,Reasoning with differing tasks and response formats,2013,poster,"Loebell, Nicole Cruz de Echeverría"
2675,https://mindmodeling.org/cogsci2013/papers/0388/index.html,Posters,Reasoning with differing tasks and response formats,2013,poster,"Knauff, Markus"
2676,https://mindmodeling.org/cogsci2013/papers/0389/index.html,Posters,Artificial grammar learning of shape-based noun classification,2013,poster,"Culbertson, Jennifer"
2676,https://mindmodeling.org/cogsci2013/papers/0389/index.html,Posters,Artificial grammar learning of shape-based noun classification,2013,poster,"Wilson, Colin"
2677,https://mindmodeling.org/cogsci2013/papers/0390/index.html,Posters,Moving from Levels & Reduction to Dimensions & Constraints,2013,poster,"Danks, David"
2678,https://mindmodeling.org/cogsci2013/papers/0391/index.html,Posters,Proactive and Retroactive Interference Effects in Development,2013,poster,"Darby, Kevin"
2678,https://mindmodeling.org/cogsci2013/papers/0391/index.html,Posters,Proactive and Retroactive Interference Effects in Development,2013,poster,"Sloutsky, Vladimir"
2679,https://mindmodeling.org/cogsci2013/papers/0392/index.html,Posters,Self-Regulated Learning with Graphical Overviews: When Spatial Information Detracts from Learning,2013,poster,"Davies, Sarah"
2679,https://mindmodeling.org/cogsci2013/papers/0392/index.html,Posters,Self-Regulated Learning with Graphical Overviews: When Spatial Information Detracts from Learning,2013,poster,"Butcher, Kirsten"
2679,https://mindmodeling.org/cogsci2013/papers/0392/index.html,Posters,Self-Regulated Learning with Graphical Overviews: When Spatial Information Detracts from Learning,2013,poster,"Stevens, Corey"
2680,https://mindmodeling.org/cogsci2013/papers/0393/index.html,Posters,Associative strength and semantic activation in the mental lexicon: evidence from continued word associations.,2013,poster,"de Deyne, Simon"
2680,https://mindmodeling.org/cogsci2013/papers/0393/index.html,Posters,Associative strength and semantic activation in the mental lexicon: evidence from continued word associations.,2013,poster,"Navarro, Daniel"
2680,https://mindmodeling.org/cogsci2013/papers/0393/index.html,Posters,Associative strength and semantic activation in the mental lexicon: evidence from continued word associations.,2013,poster,"Storms, Gert"
2681,https://mindmodeling.org/cogsci2013/papers/0394/index.html,Posters,The Index of Cognitive Activity as a Measure of Linguistic Processing,2013,poster,"Demberg, Vera"
2681,https://mindmodeling.org/cogsci2013/papers/0394/index.html,Posters,The Index of Cognitive Activity as a Measure of Linguistic Processing,2013,poster,"Kiagia, Evangelia"
2681,https://mindmodeling.org/cogsci2013/papers/0394/index.html,Posters,The Index of Cognitive Activity as a Measure of Linguistic Processing,2013,poster,"Sayeed, Asad"
2682,https://mindmodeling.org/cogsci2013/papers/0395/index.html,Posters,Pupillometry: the Index of Cognitive Activity in a dual-task study,2013,poster,"Demberg, Vera"
2683,https://mindmodeling.org/cogsci2013/papers/0396/index.html,Posters,Integration Costs on Auxiliaries? – a self-paced reading study using WebExp,2013,poster,"Demberg, Vera"
2684,https://mindmodeling.org/cogsci2013/papers/0397/index.html,Posters,Effects of Training on Categorization,2013,poster,"Deng, Wei"
2684,https://mindmodeling.org/cogsci2013/papers/0397/index.html,Posters,Effects of Training on Categorization,2013,poster,"Sloutsky, Vladimir"
2685,https://mindmodeling.org/cogsci2013/papers/0398/index.html,Posters,Information-Sharing in Three Interacting Minds Solving a Simple Perceptual Task,2013,poster,"Denkiewicz, Michał"
2685,https://mindmodeling.org/cogsci2013/papers/0398/index.html,Posters,Information-Sharing in Three Interacting Minds Solving a Simple Perceptual Task,2013,poster,"Rączaszek-Leonardi, Joanna"
2685,https://mindmodeling.org/cogsci2013/papers/0398/index.html,Posters,Information-Sharing in Three Interacting Minds Solving a Simple Perceptual Task,2013,poster,"Migdał, Piotr"
2685,https://mindmodeling.org/cogsci2013/papers/0398/index.html,Posters,Information-Sharing in Three Interacting Minds Solving a Simple Perceptual Task,2013,poster,"Plewczynski, Dariusz"
2686,https://mindmodeling.org/cogsci2013/papers/0399/index.html,Posters,"Information Sampling, Conformity and Collective Mistaken Beliefs",2013,poster,"Denrell, Jerker"
2686,https://mindmodeling.org/cogsci2013/papers/0399/index.html,Posters,"Information Sampling, Conformity and Collective Mistaken Beliefs",2013,poster,"le Mens, Gael"
